tourney_name,tourney_date,surface,round,winner_name,loser_name,winner_rank,loser_rank,best_of,source,year
stella artois,2000-06-12,grass,2nd round,llodra m.,sa a.,169,84,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,bryan b.,henman t.,202,14,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,kucera k.,enqvist t.,36,7,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,ivanisevic g.,philippoussis m.,63,17,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,hewitt l.,wheaton d.,11,436,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,mirnyi m.,martin t.,60,22,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,gimelstob j.,santoro f.,102,27,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,agassi a.,dupuis a.,1,105,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,pozzi g.,siemerink j.,76,125,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,santoro f.,goldstein p.,27,74,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,sanguinetti d.,lee m.,104,289,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,sa a.,ilie a.,84,39,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,rusedski g.,ferreira w.,20,42,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,philippoussis m.,arthurs w.,17,95,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,pavel a.,sluiter r.,26,128,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,parmar a.,draper s.,157,400,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,nestor d.,hill m.,163,226,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,nestor d.,lareau s.,163,137,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,wheaton d.,vinciguerra a.,436,40,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,pavel a.,black b.,26,64,3.0,tennis_data,2000
stella artois,2000-06-12,grass,quarterfinals,hewitt l.,pioline c.,11,6,3.0,tennis_data,2000
stella artois,2000-06-12,grass,2nd round,pozzi g.,agenor r.,76,97,3.0,tennis_data,2000
stella artois,2000-06-12,grass,1st round,mirnyi m.,hantschk m.,60,90,3.0,tennis_data,2000
stella artois,2000-06-12,grass,the final,hewitt l.,sampras p.,11,4,3.0,tennis_data,2000
