rank_diff,elo_diff,grass_win_pct_diff,form5_grass_diff,form10_all_diff,rest_days_diff,month_sin,month_cos,is_wimbledon,round_encoded,label,year,tourney_name,winner_name,loser_name
-22.0,-232.3104995636818,-0.16660189143671467,-0.19999999999999996,-0.20000000000000007,-0.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2015,wimbledon,murray a.,karlovic i.
334.0,-16.41994736888796,-0.20512820512820507,-0.06666666666666665,-0.16666666666666663,1.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2011,hall of fame championships,kudla d.,dimitrov g.
34.0,278.39286669981993,0.35714285714285715,0.6000000000000001,0.5,0.0,1.2246467991473532e-16,-1.0,0,0,1,2021,mercedes cup,querrey s.,duckworth j.
32.0,150.87847369813585,0.3422459893048128,0.19999999999999996,0.19999999999999996,357.0,1.2246467991473532e-16,-1.0,1,0,1,2012,wimbledon,del potro j.m.,haase r.
9.0,425.15223433812594,0.29887955182072834,0.0,0.30000000000000004,0.0,-0.4999999999999997,-0.8660254037844388,1,0,1,2022,wimbledon,djokovic n.,norrie c.
-92.0,-213.18520773701175,-0.24305555555555558,-0.0,-0.4,-1.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2008,wimbledon,nadal r.,schuettler r.
-240.0,19.0846614117188,-0.3888888888888889,-0.4,-0.4,-356.0,1.2246467991473532e-16,-1.0,0,0,0,2013,topshelf open,chardy j.,pouille l.
-15.0,41.99927991228742,0.35,0.35,0.35,-0.0,1.2246467991473532e-16,-1.0,1,0,0,2000,wimbledon,johansson t.,gustafsson m.
146.0,-11.970839972404065,0.4,0.4,0.4,-10.0,1.2246467991473532e-16,-1.0,1,0,1,2011,wimbledon,dimitrov g.,stebe c.m.
-19.0,103.08941330678203,0.04274891774891776,-0.0,0.09999999999999998,1.0,1.2246467991473532e-16,-1.0,0,0,0,2016,aegon open,johnson s.,seppi a.
58.0,224.01825103594433,0.343984962406015,0.6,0.6,5.0,-0.4999999999999997,-0.8660254037844388,1,0,1,2023,wimbledon,hurkacz h.,ramos-vinolas a.
6.0,171.73098686044136,0.5813953488372093,0.6,0.6,-4.0,-0.4999999999999997,-0.8660254037844388,1,0,1,2017,wimbledon,seppi a.,gombos n.
8.0,10.138605863220391,0.0,-0.20000000000000007,0.0,0.0,1.2246467991473532e-16,-1.0,1,0,1,2003,wimbledon,lopez f.,saretta f.
-11.0,-343.7095932702823,-0.28689687795648067,-0.19999999999999996,-0.09999999999999998,-0.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2015,wimbledon,federer r.,simon g.
3.0,-167.2521310613629,-0.13235294117647056,-0.09999999999999998,-0.19999999999999996,-0.0,1.2246467991473532e-16,-1.0,1,0,0,2012,wimbledon,malisse x.,matosevic m.
72.0,4.606037751071426,0.16666666666666669,0.16666666666666669,0.16666666666666669,-364.0,1.2246467991473532e-16,-1.0,1,0,0,2015,wimbledon,herbert p.h.,chung h.
-5.0,-212.68941461656004,-0.1777777777777777,-0.20000000000000007,-0.20000000000000007,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2011,gerry weber open,berdych t.,troicki v.
33.0,-16.52922933208174,-0.2666666666666666,-0.06666666666666665,-0.2666666666666666,-1.0,1.2246467991473532e-16,-1.0,0,0,0,2009,aegon international,istomin d.,querrey s.
-314.0,-53.091038652762336,-0.5555555555555556,-0.6,-0.7,-6.0,1.2246467991473532e-16,-1.0,0,0,0,2005,ordina open,llodra m.,gremelmayr d.
161.0,-26.761630333968924,0.375,0.2,0.2,8.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2017,wimbledon,ofner s.,bellucci t.
10.0,13.71323388214023,0.09999999999999998,0.09999999999999998,0.09999999999999998,1.0,1.2246467991473532e-16,-1.0,0,0,1,2009,aegon international,mayer l.,benneteau j.
-10.0,210.3038407504423,0.1995464852607709,-0.20000000000000007,0.14444444444444438,-0.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2006,wimbledon,baghdatis m.,grosjean s.
25.0,17.583977344160076,0.06666666666666665,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,1,0,1,2008,wimbledon,hanescu v.,falla a.
329.0,22.38467327719286,0.4864864864864865,0.4,0.4,343.0,1.2246467991473532e-16,-1.0,0,0,1,2016,mercedes cup,stakhovsky s.,choinski j.
75.0,-106.59928249092445,-0.35714285714285715,-0.3,-0.3,-1.0,1.2246467991473532e-16,-1.0,1,0,1,2007,wimbledon,davydenko n.,korolev e.
-58.0,-3.68681044801383,-0.05128205128205132,-0.26666666666666666,-0.06666666666666671,0.0,1.2246467991473532e-16,-1.0,1,0,1,2005,wimbledon,monfils g.,hrbaty d.
-32.0,-33.513257516690146,-0.033333333333333326,-0.0,-0.0,-0.0,1.2246467991473532e-16,-1.0,1,0,0,2014,wimbledon,anderson k.,roger-vasselin e.
-8.0,-99.54465966435305,-0.36111111111111116,-0.39999999999999997,-0.2777777777777778,-355.0,1.2246467991473532e-16,-1.0,1,0,0,2004,wimbledon,santoro f.,martin a.
-108.0,-171.91693516015243,-0.2751322751322752,-0.6000000000000001,-0.3714285714285715,6.0,1.2246467991473532e-16,-1.0,0,0,0,2025,halle open,rublev a.,ofner s.
27.0,6.40905358824557,-0.19021739130434784,-0.19999999999999996,-0.125,1.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2018,wimbledon,albot r.,bedene a.
23.0,-68.78275923563274,-0.14074074074074078,0.0,-0.10000000000000003,-734.0,-0.4999999999999997,-0.8660254037844388,0,0,1,2013,hall of fame championships,russell m.,marchenko i.
-106.0,125.25062507141456,0.2820512820512821,0.0,0.16666666666666669,0.0,1.2246467991473532e-16,-1.0,1,0,1,2022,wimbledon,humbert u.,ruud c.
-36.0,15.904768574852369,0.0,0.0,0.0,-7.0,1.2246467991473532e-16,-1.0,0,0,1,2000,heineken trophy,wessels p.,tieleman l.
45.0,-19.140912869850354,-0.026206896551724035,-0.4,-0.09999999999999998,0.0,-0.4999999999999997,-0.8660254037844388,1,0,1,2017,wimbledon,anderson k.,seppi a.
-71.0,-28.903014097140158,0.36363636363636365,0.4,0.4,347.0,1.2246467991473532e-16,-1.0,1,0,0,2004,wimbledon,falla a.,knowle j.
-26.0,-12.539502824793544,-0.17104276069017255,0.0,0.19999999999999996,-357.0,1.2246467991473532e-16,-1.0,1,0,1,2011,wimbledon,lu y.h.,robredo t.
63.0,159.2458601802291,0.12195121951219512,-0.09999999999999998,0.09999999999999998,1.0,-0.4999999999999997,-0.8660254037844388,1,0,1,2017,wimbledon,querrey s.,fabbiano t.
5.0,381.05331947106083,0.14123076923076927,0.19999999999999996,0.19999999999999996,-1.0,-0.4999999999999997,-0.8660254037844388,1,0,1,2023,wimbledon,djokovic n.,rublev a.
